Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,PRESSURE_MOMENT_X,PRESSURE_MOMENT_Y,PRESSURE_MOMENT_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z,VISCOUS_MOMENT_X,VISCOUS_MOMENT_Y,VISCOUS_MOMENT_Z
1,1.325238855,-1.054809378,1197.081296,537.2678105,-990.566933,-572.7711632,2588.88171,616.6703079,45.71180349,0.7811790313,1.37935251,0.01596016653,12.91238172,-24.82152196
2,1.970920662,-1.811970668,1804.927173,917.9790838,-1701.053508,-972.4345811,4404.546523,1122.248374,43.37857871,1.054546716,1.809153538,0.0442010269,10.71108979,-22.87420898
3,1.165790023,-1.613859672,1052.294823,850.8061886,-1515.416738,-863.2879013,3821.998608,1331.785687,40.96907455,1.491069641,1.958499076,-0.02693229842,9.580752824,-20.33049531
4,-0.07820572771,-0.976654471,-112.1461654,551.353185,-917.8740496,-515.8367733,2232.953817,1286.56666,38.80577216,1.658772122,1.97920346,-0.04192770335,8.793835553,-18.69363228
5,-0.4273870337,-0.6946934704,-437.8638093,349.018614,-653.3119422,-336.3543748,1670.961809,1037.417482,37.06537638,1.598216042,1.836739818,-0.02580503889,8.649732764,-17.86703223
6,0.3067321905,-0.9897079647,251.9292318,363.3216202,-929.7753398,-441.3692289,2611.647279,708.9406641,35.72053662,1.51128534,1.639083857,-0.03361654493,8.7644315,-17.29354899
7,1.194023695,-1.482081569,1085.243587,478.7581739,-1391.335955,-647.276389,3946.464487,495.2786997,34.49751007,1.526661349,1.457639126,-0.09847617451,8.807396494,-16.53309831
8,1.405464396,-1.733953359,1284.62256,532.6404829,-1627.223559,-740.7377081,4527.429558,473.5339135,33.40508925,1.643824673,1.142900982,-0.2430648834,9.4493397,-15.58562247
9,0.9762873972,-1.664923214,880.7799888,477.4594515,-1562.329254,-684.4056146,4252.05621,557.1727626,34.77061994,1.868695224,0.9842375001,-0.4044488652,10.51634342,-15.55560242
10,0.5065066219,-1.48277373,434.9290745,382.2950111,-1391.5775,-585.7995948,3737.169517,606.7301981,40.06675899,2.107734821,1.050084748,-0.4784847449,12.73893931,-17.59364239
11,0.4467251511,-1.420943575,370.7707757,331.7307232,-1333.968072,-553.3218677,3589.689211,556.0285511,48.16271166,2.335859395,1.424233499,-0.3690326675,15.67582229,-21.36652657
12,0.7320992686,-1.504072795,631.1245033,340.7762136,-1412.465846,-590.73859,3841.576098,440.4665202,55.42940795,2.469038825,1.964422288,-0.1129287645,17.98820811,-25.18012815
13,1.01169997,-1.613009564,886.7954197,368.6129616,-1515.071351,-633.3291181,4138.610507,338.5489614,61.96467531,2.566228099,2.41033286,0.1255761022,20.25337934,-28.76217125
14,1.048050253,-1.63430051,917.0738888,372.1827165,-1535.210879,-632.0342887,4172.629442,297.2015334,65.77506518,2.614822991,2.583467758,0.2094111535,21.73288224,-30.83783114
15,0.9003460544,-1.568872982,776.3848455,344.5914038,-1473.883409,-594.9693693,3956.382011,300.36014,67.94888297,2.638251798,2.613148158,0.1866305885,22.56151381,-31.97086134
16,0.7691440222,-1.496732502,651.8650977,309.3596661,-1406.213564,-561.9196479,3714.943045,304.4206107,69.428939,2.650021089,2.595780525,0.1252782291,23.05888512,-32.73580911
17,0.7717616388,-1.475047714,653.1158173,289.1314262,-1385.848037,-555.0669151,3617.247159,281.3459766,70.63298887,2.655101561,2.56598669,0.05091491821,23.40032655,-33.38862611
18,0.8663563775,-1.502542821,740.8306472,286.7050223,-1411.572919,-566.9081333,3670.150828,235.4033028,71.6279701,2.659498139,2.506287053,-0.04658971554,23.70994608,-33.94511029
19,0.941399304,-1.533629186,810.4601954,289.7324907,-1440.634115,-575.0983299,3747.624975,191.011594,72.37277804,2.669444112,2.415063366,-0.1616110866,24.01940305,-34.34619943
20,0.9411976183,-1.535786894,809.8349872,286.4988848,-1442.537974,-568.4954381,3751.992332,165.0580669,72.80884784,2.686542066,2.295449884,-0.28462841,24.32397506,-34.54549692
21,0.8954251488,-1.512895619,766.7817302,276.9755291,-1420.926191,-553.6059911,3681.800086,157.8846553,72.93723203,2.709535194,2.150829174,-0.4113346483,24.61718824,-34.55952054
22,0.8640616811,-1.492985263,737.5056245,268.1971335,-1402.106169,-543.4016079,3610.711376,157.2856142,72.80105402,2.736075129,2.00250007,-0.5373242515,24.84411039,-34.42601485
23,0.8737201818,-1.494728138,746.892915,266.8173512,-1403.602655,-543.6776442,3594.656702,155.5104026,72.47138961,2.760917835,1.864539787,-0.6520270573,24.99440783,-34.19745803
24,0.9043289248,-1.515184314,776.0778839,271.2130449,-1422.663028,-550.4705657,3632.565918,150.3634615,71.99093263,2.777485331,1.741355962,-0.7476542357,25.07259737,-33.90059888
25,0.9232063546,-1.536434167,794.3624921,274.7454229,-1442.487464,-555.3797342,3679.091917,141.0638355,71.40935168,2.786819542,1.637934147,-0.8180288087,25.07626233,-33.55813145
26,0.9181773342,-1.54693673,790.3039161,273.695898,-1452.24507,-555.2857771,3699.437314,130.3089317,70.75177268,2.793177066,1.546362405,-0.8693560286,25.03452498,-33.1725496
27,0.9030435038,-1.54973783,776.8031161,270.3987099,-1454.793925,-553.0817553,3697.843942,120.8975187,70.06024805,2.800980651,1.468379952,-0.9062834173,24.95229415,-32.76627122
28,0.8956214981,-1.553891175,770.5446291,267.8555051,-1458.624832,-552.5501864,3698.919689,113.3615791,69.35846722,2.811194451,1.404329261,-0.9330899098,24.84190457,-32.3528425
29,0.9006048955,-1.564264366,775.8969855,267.2318679,-1468.303346,-554.6205032,3716.059119,106.6002818,68.67948103,2.822663107,1.354990254,-0.9483374861,24.71312509,-31.96028921
30,0.9091859193,-1.579256493,784.601089,267.658439,-1482.321083,-558.1988884,3744.593207,99.87542314,68.02255878,2.834801506,1.3132895,-0.9541320789,24.58004735,-31.58862229
31,0.9118815187,-1.592534037,787.7472545,266.7606777,-1494.744017,-560.6966045,3768.054606,90.87499516,67.40429409,2.846640055,1.284703385,-0.9488353973,24.41947971,-31.25059939
32,0.9067919832,-1.600653758,783.5653712,263.7680656,-1502.339233,-561.478775,3777.480959,79.66376582,66.81327201,2.858408433,1.265341829,-0.9366878797,24.23406708,-30.93686921
33,0.8995319612,-1.603850061,777.3092658,259.3086237,-1505.329058,-560.8965729,3774.718925,66.78811777,66.26101588,2.872252193,1.257712162,-0.9174384631,24.01745839,-30.65341631
34,0.8955306282,-1.606122677,774.0792379,255.0240724,-1507.46051,-560.5752796,3771.420606,54.46471017,65.73864171,2.888886492,1.257932793,-0.8941743383,23.78506333,-30.39060449
35,0.8955871026,-1.610431591,774.6115659,251.8002801,-1511.511416,-561.1472882,3773.622778,43.60037685,65.25927469,2.908257148,1.267990103,-0.8648025311,23.53642686,-30.15787473
36,0.8960337244,-1.617428647,775.4757251,249.392407,-1518.087029,-562.6437867,3781.05272,34.68012059,64.81395207,2.928557231,1.281847978,-0.8331181415,23.29294158,-29.94804711
37,0.8941675747,-1.62553462,774.1282928,247.0489406,-1525.710764,-564.3586475,3789.588929,27.02529843,64.41133155,2.948680459,1.303898232,-0.7966056596,23.04130663,-29.76836677
38,0.8897621841,-1.633659851,770.3716051,243.9568665,-1533.3533,-566.1584514,3797.867524,19.51500923,64.03669676,2.968437729,1.326691349,-0.7601163379,22.80195972,-29.6072652
39,0.8845682342,-1.640718908,765.8380116,239.6180724,-1539.99647,-567.5049659,3804.921066,11.14442042,63.69946633,2.988798093,1.349961709,-0.7228363684,22.57525096,-29.47170522
40,0.8799260012,-1.647384948,761.799297,234.5059886,-1546.267879,-568.6890425,3812.95013,2.392156023,63.38475054,3.008705143,1.370038762,-0.6889807387,22.36524534,-29.3523964
41,0.8764213613,-1.654316011,758.7954425,229.3045226,-1552.788534,-569.6928197,3822.883662,-5.978005603,63.10199582,3.029367235,1.390826195,-0.6557215261,22.16030757,-29.2558295
42,0.8734537926,-1.662644686,756.2771415,224.5544064,-1560.617968,-571.1022573,3837.121942,-12.95250989,62.83734647,3.052346562,1.409728543,-0.6255495266,21.9666127,-29.16403229
43,0.8704857981,-1.672393409,753.7304941,220.490358,-1569.781962,-573.0829102,3855.038388,-17.76836371,62.60064428,3.076725891,1.431485612,-0.5943319048,21.77204431,-29.08855085
44,0.8672618639,-1.683408666,750.931961,216.695883,-1580.13223,-575.6236824,3875.60339,-20.98131219,62.37581053,3.101661239,1.451778349,-0.5646705658,21.58722549,-29.01748336
45,0.8639801918,-1.694561338,748.058487,212.6208734,-1590.614822,-578.0732498,3896.315432,-24.01686339,62.17177191,3.126583084,1.475529353,-0.5330966048,21.39731559,-28.96134631
46,0.8605340757,-1.70517058,745.025003,208.1241611,-1600.586101,-580.1855551,3915.816152,-27.6185942,61.97352956,3.150362179,1.497587401,-0.5035766435,21.21468684,-28.90886525
47,0.8570130098,-1.714171637,741.9042413,203.3258645,-1609.051838,-581.5589428,3931.550664,-32.28190767,61.79227786,3.171017064,1.522242251,-0.4719487107,21.02981089,-28.87439193
48,0.8532111139,-1.721765802,738.518239,198.5196323,-1616.197369,-582.5075724,3942.823347,-37.08557565,61.61290778,3.187212094,1.546055527,-0.440863284,20.85180886,-28.84774885
49,0.8492570074,-1.728319883,734.9754605,193.7909235,-1622.372421,-583.1008427,3949.801912,-41.64300005,61.44757257,3.199682263,1.574768926,-0.4066960553,20.66485884,-28.8373487
50,0.8448270345,-1.734253119,730.9887577,189.399852,-1627.965479,-583.6761539,3954.0527,-45.51428728,61.27989995,3.208966186,1.603709269,-0.3734961948,20.48026607,-28.82666866
51,0.8399672984,-1.738983892,726.5880327,185.4749187,-1632.434932,-583.9177868,3955.382219,-48.57777728,61.12322275,3.215929145,1.636700695,-0.3386052399,20.28667588,-28.82507384
52,0.8346980745,-1.74292022,721.8074425,182.03256,-1636.157482,-584.1218882,3955.650193,-50.81873301,60.96239794,3.220434918,1.667808689,-0.3062750132,20.10369997,-28.81840023
53,0.8292938939,-1.746146293,716.8910587,179.0735252,-1639.216075,-584.2490629,3955.100711,-52.38370474,60.81080603,3.223310521,1.701028994,-0.2733338349,19.91994813,-28.81711255
54,0.8238198799,-1.749322873,711.9154242,176.7301966,-1642.223595,-584.6628555,3955.053644,-52.93913513,60.65297595,3.225172705,1.729590123,-0.2450113749,19.74941332,-28.80575504
55,0.8185076843,-1.75238483,707.0844633,174.9458075,-1645.125211,-585.1504953,3955.235862,-52.37515059,60.50222353,3.226645768,1.759740796,-0.2161719958,19.57491245,-28.79408468
56,0.813235572,-1.755717067,702.3008616,173.6387678,-1648.277066,-585.9230445,3956.863851,-50.73131898,60.34170153,3.227379448,1.786663887,-0.1906054754,19.40904416,-28.76842583
57,0.8082587584,-1.758969068,697.7882105,172.6215059,-1651.355349,-586.771957,3959.323033,-48.67341766,60.18715651,3.228185431,1.815259684,-0.1645409692,19.2387063,-28.74067159
58,0.8034466504,-1.76240971,693.4396366,171.9115702,-1654.604071,-587.950008,3963.163409,-46.10804682,60.02299335,3.229701204,1.837387784,-0.1442775814,19.08403395,-28.69778142
59,0.7991413201,-1.766267792,689.5592491,171.3700806,-1658.242425,-589.3656161,3968.944545,-43.16358376,59.86589371,3.232821096,1.857679604,-0.1260379503,18.93417204,-28.65389394
60,0.7950751164,-1.771124116,685.9135479,171.0341336,-1662.807347,-591.3145431,3977.470818,-39.56068486,59.69835788,3.236501983,1.868398842,-0.114893505,18.80912988,-28.59604911
61,0.7913761742,-1.776301145,682.6060613,170.7649563,-1667.669959,-593.373564,3986.90368,-35.8479041,59.53702082,3.241478503,1.876055182,-0.1060109558,18.69635455,-28.53574098
62,0.7880534228,-1.782007651,679.6621017,170.6547678,-1673.020177,-595.839993,3997.316906,-32.04902669,59.36494402,3.247044827,1.874780538,-0.1034504017,18.61207966,-28.45912453
63,0.785517388,-1.787404235,677.4492521,170.5412369,-1678.078449,-598.3819669,4007.476368,-28.80702032,59.19953059,3.253331624,1.872200004,-0.1013706424,18.53818434,-28.37981049
64,0.7835041336,-1.793101624,675.7371144,170.4096817,-1683.411408,-601.3426963,4018.322098,-25.94694884,59.02366247,3.259571478,1.862216006,-0.1042893533,18.49202203,-28.28338343
65,0.7820700474,-1.798734295,674.560354,170.1145199,-1688.682974,-604.3355416,4028.855781,-23.6609909,58.85555406,3.265728456,1.851531695,-0.1072762731,18.45542173,-28.1848682
66,0.7808926649,-1.805089581,673.634321,169.826886,-1694.624393,-607.7824528,4040.054484,-21.55250764,58.67745185,3.270750994,1.833038841,-0.1153765594,18.44405351,-28.07353761
67,0.7800934998,-1.811661055,673.0564366,169.5220492,-1700.767445,-611.3298107,4050.72239,-20.00289968,58.50588884,3.274737857,1.813441782,-0.1234256552,18.43909457,-27.96402845
68,0.7794199917,-1.818495227,672.6069453,169.3117091,-1707.150482,-615.0929878,4060.75034,-18.64481648,58.32377238,3.277368046,1.787474753,-0.1355308003,18.45255374,-27.84420219
69,0.7790970103,-1.824937785,672.4777973,169.07517,-1713.167576,-618.6793627,4069.389394,-17.65227518,58.15003229,3.279797411,1.762814416,-0.1463038979,18.46257943,-27.7296339
70,0.7789379604,-1.831005592,672.5110458,168.7976757,-1718.828996,-622.200433,4077.322793,-17.05589485,57.96762861,3.280938148,1.733917577,-0.1598487991,18.48164026,-27.60898955
71,0.7790145784,-1.836460708,672.7555329,168.3276279,-1723.919019,-625.4050668,4084.653195,-17.14672219,57.79499294,3.280661236,1.708199186,-0.1701971813,18.48826376,-27.49834482
