Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z,PRESSURE_MOMENT_X,PRESSURE_MOMENT_Y,PRESSURE_MOMENT_Z,VISCOUS_MOMENT_X,VISCOUS_MOMENT_Y,VISCOUS_MOMENT_Z,FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL
1,-6.51E+01,-1.45E+02,2.14E+00,-1.69E+00,7.25E-02,-2.39E-03,-5.92E+01,2.71E+01,3.81E+01,3.43E-02,7.00E-01,4.66E-02,5.02E-01,-1.09E+00
2,-9.17E+01,-2.51E+02,4.26E+00,-1.69E+00,1.85E-01,-5.64E-03,-1.02E+02,3.85E+01,5.95E+01,8.09E-02,6.99E-01,6.32E-03,7.03E-01,-1.89E+00
3,-5.83E+01,-2.24E+02,3.92E+00,-1.65E+00,2.08E-01,-8.26E-03,-9.03E+01,2.49E+01,4.45E+01,9.01E-02,6.79E-01,-6.13E-03,4.51E-01,-1.68E+00
4,-1.17E+01,-1.36E+02,2.27E+00,-1.61E+00,2.15E-01,-9.67E-03,-5.49E+01,5.92E+00,1.79E+01,9.36E-02,6.62E-01,-1.27E-02,1.00E-01,-1.02E+00
5,-1.65E+00,-9.29E+01,1.69E+00,-1.60E+00,2.09E-01,-9.06E-03,-3.81E+01,2.06E+00,8.59E+00,9.21E-02,6.54E-01,-1.27E-02,2.44E-02,-6.98E-01
6,-3.23E+01,-1.28E+02,3.13E+00,-1.59E+00,1.98E-01,-8.93E-03,-5.27E+01,1.50E+01,2.18E+01,8.78E-02,6.52E-01,-8.79E-03,2.55E-01,-9.63E-01
7,-7.14E+01,-1.98E+02,5.46E+00,-1.60E+00,1.89E-01,-8.75E-03,-8.05E+01,3.13E+01,4.13E+01,8.48E-02,6.56E-01,-6.03E-03,5.49E-01,-1.49E+00
8,-8.75E+01,-2.43E+02,6.98E+00,-1.60E+00,1.88E-01,-1.08E-02,-9.76E+01,3.81E+01,5.02E+01,8.43E-02,6.55E-01,-7.34E-03,6.70E-01,-1.83E+00
9,-7.54E+01,-2.40E+02,6.96E+00,-1.57E+00,1.89E-01,-1.02E-02,-9.52E+01,3.32E+01,4.45E+01,8.44E-02,6.42E-01,-9.09E-03,5.79E-01,-1.80E+00
10,-5.43E+01,-2.09E+02,6.08E+00,-1.56E+00,1.92E-01,-9.61E-03,-8.24E+01,2.45E+01,3.35E+01,8.56E-02,6.32E-01,-1.16E-02,4.20E-01,-1.57E+00
11,-4.37E+01,-1.86E+02,5.54E+00,-1.56E+00,1.94E-01,-9.84E-03,-7.30E+01,2.02E+01,2.72E+01,8.64E-02,6.32E-01,-1.30E-02,3.41E-01,-1.40E+00
12,-4.81E+01,-1.87E+02,5.87E+00,-1.58E+00,1.95E-01,-1.04E-02,-7.33E+01,2.21E+01,2.84E+01,8.72E-02,6.37E-01,-1.36E-02,3.74E-01,-1.40E+00
13,-5.73E+01,-2.02E+02,6.61E+00,-1.59E+00,1.93E-01,-1.04E-02,-7.90E+01,2.59E+01,3.23E+01,8.70E-02,6.40E-01,-1.32E-02,4.43E-01,-1.52E+00
14,-6.01E+01,-2.15E+02,7.03E+00,-1.59E+00,1.92E-01,-1.06E-02,-8.32E+01,2.71E+01,3.35E+01,8.70E-02,6.39E-01,-1.33E-02,4.64E-01,-1.62E+00
15,-5.56E+01,-2.18E+02,6.84E+00,-1.60E+00,1.93E-01,-1.10E-02,-8.36E+01,2.51E+01,3.15E+01,8.76E-02,6.40E-01,-1.43E-02,4.30E-01,-1.64E+00
16,-4.98E+01,-2.15E+02,6.37E+00,-1.60E+00,1.95E-01,-1.16E-02,-8.19E+01,2.26E+01,2.90E+01,8.87E-02,6.40E-01,-1.60E-02,3.86E-01,-1.61E+00
17,-4.75E+01,-2.12E+02,6.07E+00,-1.61E+00,1.98E-01,-1.23E-02,-8.09E+01,2.17E+01,2.80E+01,9.05E-02,6.42E-01,-1.79E-02,3.69E-01,-1.59E+00
18,-4.89E+01,-2.13E+02,6.10E+00,-1.61E+00,1.99E-01,-1.32E-02,-8.16E+01,2.24E+01,2.86E+01,9.09E-02,6.43E-01,-1.92E-02,3.80E-01,-1.60E+00
19,-5.11E+01,-2.18E+02,6.26E+00,-1.62E+00,1.98E-01,-1.37E-02,-8.34E+01,2.33E+01,2.96E+01,9.06E-02,6.43E-01,-1.99E-02,3.97E-01,-1.64E+00
20,-5.18E+01,-2.23E+02,6.26E+00,-1.62E+00,1.96E-01,-1.47E-02,-8.50E+01,2.36E+01,2.98E+01,9.03E-02,6.42E-01,-2.04E-02,4.02E-01,-1.67E+00
21,-5.11E+01,-2.26E+02,6.02E+00,-1.62E+00,1.94E-01,-1.56E-02,-8.60E+01,2.31E+01,2.95E+01,8.96E-02,6.43E-01,-2.07E-02,3.96E-01,-1.70E+00
22,-5.00E+01,-2.27E+02,5.66E+00,-1.63E+00,1.94E-01,-1.66E-02,-8.65E+01,2.26E+01,2.91E+01,9.00E-02,6.44E-01,-2.16E-02,3.89E-01,-1.71E+00
23,-4.97E+01,-2.29E+02,5.43E+00,-1.64E+00,1.97E-01,-1.84E-02,-8.69E+01,2.25E+01,2.90E+01,9.12E-02,6.46E-01,-2.30E-02,3.86E-01,-1.72E+00
24,-5.01E+01,-2.30E+02,5.41E+00,-1.64E+00,1.99E-01,-1.87E-02,-8.77E+01,2.27E+01,2.93E+01,9.23E-02,6.46E-01,-2.45E-02,3.89E-01,-1.73E+00
25,-5.05E+01,-2.33E+02,5.53E+00,-1.64E+00,1.99E-01,-1.96E-02,-8.87E+01,2.29E+01,2.96E+01,9.27E-02,6.47E-01,-2.55E-02,3.92E-01,-1.75E+00
